rent_euro,year,half,half_year,time_period,county,province,area,location,property_type,bedrooms,bedrooms_num,is_dublin,is_city,is_county_aggregate
835.9,2020,1,2020H1,1,Carlow,Leinster,Carlow,Carlow,All property types,All bedrooms,,False,False,True
860.74,2020,1,2020H1,1,Carlow,Leinster,Carlow Town,Carlow Town,All property types,All bedrooms,,False,False,False
910.91,2020,1,2020H1,1,Carlow,Leinster,Graiguecullen,"Graiguecullen, Carlow",All property types,All bedrooms,,False,False,False
812.14,2020,1,2020H1,1,Carlow,Leinster,Tullow,"Tullow, Carlow",All property types,All bedrooms,,False,False,False
666.31,2020,1,2020H1,1,Cavan,Ulster,Cavan,Cavan,All property types,All bedrooms,,False,False,True
706.42,2020,1,2020H1,1,Cavan,Ulster,Cavan Town,Cavan Town,All property types,All bedrooms,,False,False,False
575.75,2020,1,2020H1,1,Cavan,Ulster,Bailieborough,"Bailieborough, Cavan",All property types,All bedrooms,,False,False,False
583.84,2020,1,2020H1,1,Cavan,Ulster,Ballyconnell,"Ballyconnell, Cavan",All property types,All bedrooms,,False,False,False
657.04,2020,1,2020H1,1,Cavan,Ulster,Ballyjamesduff,"Ballyjamesduff, Cavan",All property types,All bedrooms,,False,False,False
573.35,2020,1,2020H1,1,Cavan,Ulster,Belturbet,"Belturbet, Cavan",All property types,All bedrooms,,False,False,False
558.77,2020,1,2020H1,1,Cavan,Ulster,Cootehill,"Cootehill, Cavan",All property types,All bedrooms,,False,False,False
728.85,2020,1,2020H1,1,Cavan,Ulster,Kingscourt,"Kingscourt, Cavan",All property types,All bedrooms,,False,False,False
803.55,2020,1,2020H1,1,Cavan,Ulster,Virginia,"Virginia, Cavan",All property types,All bedrooms,,False,False,False
752.02,2020,1,2020H1,1,Clare,Munster,Clare,Clare,All property types,All bedrooms,,False,False,True
766.78,2020,1,2020H1,1,Clare,Munster,Ennis,"Ennis, Clare",All property types,All bedrooms,,False,False,False
833.31,2020,1,2020H1,1,Clare,Munster,Killaloe,"Killaloe, Clare",All property types,All bedrooms,,False,False,False
549.55,2020,1,2020H1,1,Clare,Munster,Kilrush,"Kilrush, Clare",All property types,All bedrooms,,False,False,False
782.73,2020,1,2020H1,1,Clare,Munster,Newmarket-On-Fergus,"Newmarket-On-Fergus, Clare",All property types,All bedrooms,,False,False,False
800.04,2020,1,2020H1,1,Clare,Munster,Shannon,"Shannon, Clare",All property types,All bedrooms,,False,False,False
796.71,2020,1,2020H1,1,Clare,Munster,Sixmilebridge,"Sixmilebridge, Clare",All property types,All bedrooms,,False,False,False
1095.94,2020,1,2020H1,1,Cork,Munster,Cork,Cork,All property types,All bedrooms,,False,False,True
1240.26,2020,1,2020H1,1,Cork,Munster,Cork City,Cork City,All property types,All bedrooms,,False,True,False
1243.67,2020,1,2020H1,1,Cork,Munster,Ballincollig,"Ballincollig, Cork",All property types,All bedrooms,,False,False,False
1315.34,2020,1,2020H1,1,Cork,Munster,Ballintemple,"Ballintemple, Cork",All property types,All bedrooms,,False,False,False
899.37,2020,1,2020H1,1,Cork,Munster,Bandon,"Bandon, Cork",All property types,All bedrooms,,False,False,False
674.63,2020,1,2020H1,1,Cork,Munster,Bantry,"Bantry, Cork",All property types,All bedrooms,,False,False,False
1338.08,2020,1,2020H1,1,Cork,Munster,Bishopstown,"Bishopstown, Cork",All property types,All bedrooms,,False,False,False
1037.0,2020,1,2020H1,1,Cork,Munster,Blackpool,"Blackpool, Cork",All property types,All bedrooms,,False,False,False
1334.97,2020,1,2020H1,1,Cork,Munster,Blackrock,"Blackrock, Cork",All property types,All bedrooms,,False,False,False
1153.76,2020,1,2020H1,1,Cork,Munster,Blarney,"Blarney, Cork",All property types,All bedrooms,,False,False,False
1190.25,2020,1,2020H1,1,Cork,Munster,Carrigaline,"Carrigaline, Cork",All property types,All bedrooms,,False,False,False
1100.24,2020,1,2020H1,1,Cork,Munster,Carrigtwohill,"Carrigtwohill, Cork",All property types,All bedrooms,,False,False,False
859.56,2020,1,2020H1,1,Cork,Munster,Castlemartyr,"Castlemartyr, Cork",All property types,All bedrooms,,False,False,False
778.55,2020,1,2020H1,1,Cork,Munster,Charleville,"Charleville, Cork",All property types,All bedrooms,,False,False,False
838.14,2020,1,2020H1,1,Cork,Munster,Clonakilty,"Clonakilty, Cork",All property types,All bedrooms,,False,False,False
986.39,2020,1,2020H1,1,Cork,Munster,Cloyne,"Cloyne, Cork",All property types,All bedrooms,,False,False,False
954.01,2020,1,2020H1,1,Cork,Munster,Cobh,"Cobh, Cork",All property types,All bedrooms,,False,False,False
1107.21,2020,1,2020H1,1,Cork,Munster,Crosshaven,"Crosshaven, Cork",All property types,All bedrooms,,False,False,False
1308.1,2020,1,2020H1,1,Cork,Munster,Douglas,"Douglas, Cork",All property types,All bedrooms,,False,False,False
769.24,2020,1,2020H1,1,Cork,Munster,Dunmanway,"Dunmanway, Cork",All property types,All bedrooms,,False,False,False
861.57,2020,1,2020H1,1,Cork,Munster,Fermoy,"Fermoy, Cork",All property types,All bedrooms,,False,False,False
1174.92,2020,1,2020H1,1,Cork,Munster,Glanmire,"Glanmire, Cork",All property types,All bedrooms,,False,False,False
837.12,2020,1,2020H1,1,Cork,Munster,Kanturk,"Kanturk, Cork",All property types,All bedrooms,,False,False,False
1267.46,2020,1,2020H1,1,Cork,Munster,Kinsale,"Kinsale, Cork",All property types,All bedrooms,,False,False,False
